Date,Location,Class,Course Week,Year week,Day,Time,Teacher,Reading,Topic,Links
26-08-2025,1170-347,1,1,35,Tuesday,12:00-14:00,Frederik,Rasmuson Chapters 1 & 2,"Introduction to course, purpose of models, model classification, the modelling procedure",
28-08-2025,5220-318,2,1,35,Thursday,08:00:10:00,Sasha,Rasmuson Chapter 3,Model formulation,
02-09-2025,1170-347,3,2,36,Tuesday,12:00-14:00,Sasha,"Incropera Sections 1.1-1.2, py_data.md",Heat transfer and Python review,
04-09-2025,5220-318,4,2,36,Thursday,08:00:10:00,Sasha,Cussler pp 1-3,Mass transfer and finite difference method,
09-09-2025,1170-347,5,3,37,Tuesday,12:00-14:00,Sasha,Rittmann Chapter 2 to 2.1 & Chapter 3 to 3.1,Interphase mass transfer,
11-09-2025,5220-318,6,3,37,Thursday,08:00:10:00,Frederik,Review mass and heat transfer theory,Mini-project,
16-09-2025,1170-347,7,4,38,Tuesday,12:00-14:00,Frederik,Review mass and heat transfer theory,Mini-project,
18-09-2025,5220-318,8,4,38,Thursday,08:00:10:00,Frederik,See link column,Intro to PDEs and Method of lines (remember implemented code from home!),https://www.youtube.com/watch?v=ly4S0oi3Yz8&t=807s and https://www.youtube.com/results?search_query=https%3A%2F%2Fyoutu.be%2FxPElueguZnU
23-09-2025,5344-101,9,5,39,Tuesday,12:00-14:00,Frederik,Edsberg_BCs p 119 and see link column,Boundary conditions for PDEs,video https://youtu.be/p-tKwzYB2lw
25-09-2025,5220-318,10,5,39,Thursday,08:00:10:00,Frederik,See link column,Continue exercises on 1D models and BCs,Effect of dx video https://youtu.be/KAYrrKweVEo
30-09-2025,1170-347,11,6,40,Tuesday,12:00-14:00,Frederik,presentation of problem solutions by students,Review of exercises presentations,
02-10-2025,5220-318,12,6,40,Thursday,08:00:10:00,Frederik,See link column,2D models and COMSOL demo,videos https://youtu.be/qHswD6UVBJI and https://youtu.be/1Vp0pa1BHJE
07-10-2025,5344-101,13,7,41,Tuesday,12:00-14:00,Frederik,Edsberg_stability,Stability of ODEs,
09-10-2025,5220-318,14,7,41,Thursday,08:00:10:00,Frederik,Edsberg_stability,Stability of ODEs exercises and midterm evaluation,
14-10-2025,,,BREAK,42,Tuesday,,,,,
16-10-2025,,,BREAK,42,Thursday,,,,,
21-10-2025,5344-101,15,8,43,Tuesday,12:00-14:00,Sasha,Thackner 2024 through p 12,Model verification,
23-10-2025,5220-318,16,8,43,Thursday,08:00:10:00,Sasha,Thackner 2024 pp 13-18,Model verification,
28-10-2025,5344-101,17,9,44,Tuesday,12:00-14:00,Sasha,Class 16 exercise solution,Model verification and validation,
30-10-2025,5220-318,18,9,44,Thursday,08:00:10:00,Sasha,"Review mass transfer, PDEs, Fick's law (classes 4 and 8)",Model validation (with 1D diffusion review),
04-11-2025,5344-101,19,10,45,Tuesday,12:00-14:00,Frederik ,Review verification and validation material,Mini-project,
06-11-2025,5220-318,20,10,45,Thursday,08:00:10:00,Frederik ,,Mini-project,
11-11-2025,5344-101,21,11,46,Tuesday,12:00-14:00,Frederik ,,Mini-project,
13-11-2025,5220-318,22,11,46,Thursday,08:00:10:00,Frederik ,,Mini-project, 
18-11-2025,5344-101,23,12,47,Tuesday,12:00-14:00,Frederik ,,"Combined mass, heat, reaction",
20-11-2025,5220-318,24,12,47,Thursday,08:00:10:00,Sasha,,Model simplification (video & exercise),
25-11-2025,5344-101,25,13,48,Tuesday,12:00-14:00,Frederik ,,Time-variable inputs (video & exercises),
27-11-2025,5220-318,26,13,48,Thursday,08:00:10:00,Frederik ,,Time-variable inputs (video & exercises),
02-12-2025,5344-101,27,14,49,Tuesday,12:00-14:00,Frederik ,,"Evaluation, exam project presentation, review",
04-12-2025,5220-318,28,14,49,Thursday,08:00:10:00,Frederik ,,Project,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
