"Time, s","Temp, C"
0.0,18.83
0.5,30.27
1.0,43.57
1.5,53.34
2.0,57.65
2.5,69.6
3.0,71.56
3.5,79.85
4.0,83.58
4.5,87.04
5.0,88.11
5.5,89.5
6.0,97.8
6.5,99.81
7.0,102.31
7.5,102.19
8.0,106.14
8.5,107.8
9.0,109.54
9.5,105.8
10.0,112.88
10.5,113.56
11.0,114.35
11.5,111.36
12.0,118.86
12.5,115.36
13.0,116.86
13.5,118.41
14.0,117.21
14.5,116.99
15.0,117.23
15.5,119.46
16.0,118.63
16.5,117.04
17.0,122.91
17.5,117.66
18.0,118.25
18.5,114.63
19.0,119.27
19.5,117.07
20.0,120.35
20.5,116.77
21.0,119.61
21.5,117.53
22.0,119.92
22.5,118.58
23.0,120.54
23.5,118.65
24.0,122.32
24.5,119.31
25.0,122.02
25.5,121.98
26.0,119.67
26.5,121.36
27.0,118.53
27.5,117.11
28.0,118.67
28.5,123.09
29.0,122.77
29.5,119.54
30.0,122.26
